Output log dir: ./results/yolo_v3_fp32_origin/2019-12-03_09-19-08
Creating pipeline:
===========================================================================
DEBUG:DEBUG:
0it [00:00, ?it/s]
13it [00:00, 123.93it/s]
26it [00:00, 123.87it/s]
39it [00:00, 123.04it/s]
52it [00:00, 123.27it/s]
65it [00:00, 124.05it/s]
78it [00:00, 124.75it/s]
91it [00:00, 125.06it/s]
104it [00:00, 124.58it/s]
117it [00:00, 123.59it/s]
130it [00:01, 123.52it/s]
143it [00:01, 120.67it/s]
155it [00:01, 120.21it/s]
167it [00:01, 119.28it/s]
180it [00:01, 121.19it/s]
194it [00:01, 123.86it/s]
208it [00:01, 125.56it/s]
221it [00:01, 125.27it/s]
234it [00:01, 122.49it/s]
247it [00:02, 122.46it/s]
260it [00:02, 122.70it/s]
273it [00:02, 122.95it/s]
286it [00:02, 123.37it/s]
300it [00:02, 125.83it/s]
313it [00:02, 126.51it/s]
326it [00:02, 127.03it/s]
340it [00:02, 128.50it/s]
353it [00:02, 124.47it/s]
366it [00:02, 122.60it/s]
379it [00:03, 122.03it/s]
392it [00:03, 118.81it/s]
405it [00:03, 119.80it/s]
418it [00:03, 120.75it/s]
432it [00:03, 124.16it/s]
445it [00:03, 124.34it/s]
458it [00:03, 124.20it/s]
472it [00:03, 126.25it/s]
485it [00:03, 124.23it/s]
498it [00:04, 124.29it/s]
511it [00:04, 123.91it/s]
524it [00:04, 125.30it/s]
537it [00:04, 126.40it/s]
550it [00:04, 126.62it/s]
563it [00:04, 127.27it/s]
576it [00:04, 127.83it/s]
590it [00:04, 129.11it/s]
603it [00:04, 127.32it/s]
616it [00:04, 124.12it/s]
629it [00:05, 123.92it/s]
642it [00:05, 123.72it/s]
655it [00:05, 123.72it/s]
668it [00:05, 123.77it/s]
681it [00:05, 124.84it/s]
695it [00:05, 126.54it/s]
708it [00:05, 126.90it/s]
721it [00:05, 124.21it/s]
734it [00:05, 121.63it/s]
747it [00:06, 122.17it/s]
760it [00:06, 123.26it/s]
773it [00:06, 123.66it/s]
786it [00:06, 124.33it/s]
799it [00:06, 125.08it/s]
812it [00:06, 126.17it/s]
825it [00:06, 127.07it/s]
839it [00:06, 129.43it/s]
852it [00:06, 128.37it/s]
865it [00:06, 128.52it/s]
878it [00:07, 124.86it/s]
892it [00:07, 127.70it/s]
906it [00:07, 130.77it/s]
920it [00:07, 133.27it/s]
934it [00:07, 135.04it/s]
948it [00:07, 135.50it/s]
962it [00:07, 135.24it/s]
976it [00:07, 135.36it/s]
990it [00:07, 134.32it/s]
1004it [00:07, 134.39it/s]
1018it [00:08, 124.89it/s]
1031it [00:08, 113.33it/s]
1043it [00:08, 108.80it/s]
1055it [00:08, 103.89it/s]
1067it [00:08, 107.74it/s]
1081it [00:08, 114.16it/s]
1094it [00:08, 117.70it/s]
1106it [00:08, 115.58it/s]
1118it [00:09, 116.48it/s]
1130it [00:09, 116.95it/s]
1143it [00:09, 118.34it/s]
1156it [00:09, 119.62it/s]
1169it [00:09, 120.86it/s]
1182it [00:09, 123.07it/s]
1195it [00:09, 123.29it/s]
1208it [00:09, 119.52it/s]
1220it [00:09, 119.26it/s]
1233it [00:09, 119.68it/s]
1245it [00:10, 119.72it/s]
1257it [00:10, 116.74it/s]
1270it [00:10, 118.78it/s]
1283it [00:10, 121.52it/s]
1296it [00:10, 122.18it/s]
1309it [00:10, 118.85it/s]
1321it [00:10, 106.83it/s]
1332it [00:10, 100.26it/s]
1343it [00:10, 95.66it/s] 
1353it [00:11, 92.59it/s]
1363it [00:11, 89.88it/s]
1373it [00:11, 88.69it/s]
1382it [00:11, 86.80it/s]
1391it [00:11, 86.30it/s]
1400it [00:11, 85.27it/s]
1409it [00:11, 83.65it/s]
1418it [00:11, 82.63it/s]
1427it [00:11, 84.01it/s]
1436it [00:12, 83.25it/s]
1445it [00:12, 83.17it/s]
1454it [00:12, 83.15it/s]
1463it [00:12, 84.53it/s]
1472it [00:12, 84.86it/s]
1481it [00:12, 84.82it/s]
1490it [00:12, 85.34it/s]
1499it [00:12, 84.91it/s]
1508it [00:12, 85.17it/s]
